５文字集合	可能な５文字単語
くせちつょ	直接
くせちゃん	先着
くせちょん	直線
くせなにる	癖になる
くせもらる	曇らせる
くせゃりん	戦略
くせょりん	戦力
くせるるわ	狂わせる
くそとなれ	それとなく
くそふぶん	不足分
くぞとのり	取り除く
くぞひふん	付属品
くぞふまん	不満足
くたたびれ	くたびれた［〜服］
くたちみら	立ちくらみ
くたっひり	引ったくり
くたつどり	たどり着く
くたつにや	役に立つ
くたてみる	組み立てる
くたねひれ	ひねくれた
くたびるれ	くたびれる
くだてやる	役立てる
くだのもや	果物屋
くちはょん	直販
くちめょん	直面
くってもゆ	持って行く
くってもる	持って来る
くってやゆ	やって行（ゆ）く［どうにか〜］
くってやる	やって来る
くつづふり	降り続く
くつてゆれ	連れて行く
くつてるれ	連れて来る
くつなには	鼻に付く
くつのもり	作り物
くつばへり	へばりつく
くづのもり	物作り
くづふめろ	袋詰め
くでとゆん	飛んで行く
くでとるん	飛んで来る
くとななん	何となく
くどねよん	翌年度
くななひゃ	七百（ななひゃく）
くなにらる	楽になる
くなはべる	なるべくは
くなひびり	鳴り響く
くなまるる	丸くなる
くなるるわ	悪くなる
くぬまもり	守り抜く
くねひゃん	百年
くひまゃん	百万
くべみらる	見比べる
くょりわん	腕力
ぐさすらん	サングラス
ぐさなめる	慰める
ぐすぬりり	塗り薬
ぐすのみり	飲み薬
ぐすほみも	もみほぐす
ぐそそふり	降り注ぐ
ぐたまめれ	恵まれた
ぐとみりん	トリミング
ぐにらんん	ランニング
ぐまめるれ	恵まれる
ぐみむらり	ミリグラム
けこじつる	こじつける
けこどむも	子供向け
けさすだら	さらけ出す
けさするん	検査する
けざふるわ	悪ふざけ
けしすつる	止血する
けしするん	試験する
けしぞりる	退ける
けしつめる	締め付ける
けしとゅん	首都圏
けしとょん	図書券
けじひんん	人件費
けすすただ	助け出す
けすだつみ	見付け出す
けすだとひ	人助け
けすつひる	否決する
けすつびむ	結び付け
けすてるわ	手分けする
けすどやる	やけどする
けすぬりる	すり抜ける
けすねるん	懸念する
けすはるん	派遣する
けすひやる	日焼けする
けすよるん	予見する
けずたはれ	けた外れ
けせつみる	見せ付ける
けせなみん	世間並み
けぜふんん	不健全:不健全［〜な考え］
けそちっの	そっちのけ
けたつづて	立て続け
けたにひや	日に焼けた
けたぬのま	間の抜けた
けたふぼる	古ぼけた
けだてへわ	分け隔て
けちぶまる	ぶちまける［不満を〜］
けっつやる	やっつける:やっつける［宿題を〜］
けつとりる	取り付ける
けつにみる	身に付ける:身に着ける［服を〜］
けつはりる	張り付ける
けつふみる	踏み付ける
けづふるん	踏ん付ける
けとどみる	見届ける
けとりるわ	取り分ける
けどひめや	日焼け止め
けなにやる	やけになる
けなのまも	怠け者
けにひやる	日に焼ける
けねのはる	は（撥）ねのける
けふりるわ	振り分ける
げさすねる	値下げする
げさたまる	妨げる
げさちんん	原産地
げさとりる	取り下げる
げさほりる	掘り下げる
げしちんん	震源地
げしとなる	成し遂げる
げすてなる	投げ捨てる
げすよるん	予言する
げとやりる	やり遂げる
げとれんん	レントゲン
げにまるわ	逃げ回る
げにみんん	人間味
げのみもや	土産物
げやらるわ	和らげる
ここざしろ	志
ここちもろ	心持ち
こことのろ	このところ
ここはびむ	運び込む
ここみるろ	試みる
こごしたろ	下心
こごすちみ	住み心地
こごちのり	乗り心地
こごのもろ	物心（ものごころ）
こさとんー	コンサート
こしじむん	信じ込む
こしすずつ	少しずつ
こしすつる	固執（こしつ）する
こしたのべ	食べ残し
こしとのろ	年のころ
こしなはむ	話し込む
こしぼむり	絞り込む
こしみゃん	未婚者
こしめらる	懲らしめる
こしゅんん	今春
こじせらる	こじらせる
こじともる	閉じこもる
こすたのべ	食べ残す
こすちぶわ	ぶち壊す
こすっとま	マスコット
こすつりる	孤立する
こすてとん	コンテスト
こすととる	事とする［…を〜］
こすとのり	取り残す
こすとりわ	取り壊す
こすばよろ	喜ばす
こすふるー	フルコース
こすべみり	滑り込み
こすべむり	滑り込む
こすむりわ	座り込む
こすりるん	離婚する
こせとんん	コンセント
こただてん	立て込んだ
こたっとな	異なった
こたとみろ	見たところ
こたのみむ	頼み込む
こたへるれ	へこたれる
こだてのん	手の込んだ
こだまむり	黙り込む
こちぢまる	縮こまる
こちにはん	こんにちは
こちはびも	持ち運び
こちはぶも	持ち運ぶ
こちゃりん	ちゃりんこ
こぢまりん	こぢんまり
こっとひり	ひとりっ子
こっひめる	引っ込める
こつつみむ	包み込む
こてもりん	てんこ盛り
こでよろん	喜んで
ことばほめ	褒め言葉
ことめりる	取り込める
こどねんん	今年度
こどのひも	こどもの日
こどへらん	どこら辺
こどよりろ	よりどころ
こなによる	横になる
こなびよら	横並び
こねむむり	眠り込む
こののもり	残り物
このむめり	のめり込む
このもれわ	壊れ物
こはばんん	こんばんは
こびほるろ	ほころびる
こまむりわ	回り込む
ごしすとる	仕事する
ごしたとは	畑仕事
ごしととひ	一仕事
ごすすのり	乗り過ごす
ごすすやり	やり過ごす
ごすにるん	誤認する
ごたなまま	生卵
ごつねひろ	常日ごろ
ごととひり	ひとり言
ごのみより	より好み
ごはひるん	昼御飯
ささしむれ	虫刺され
ささしりわ	差し障り
ささしるわ	差し障る
さざたとれ	閉ざされた
さしすずる	指図する
さしすつる	視察する
さしするん	試算する
さしせつん	親切さ
さしのべる	差し伸べる
さしひぶり	久し振り
さじするん	持参する
さすせつる	左折する
さすちっる	察知する
さすつべる	差別する
さすはるん	破産する
さすぽるん	散歩する
さするれわ	忘れ去る
さするれん	連鎖する
さずたるわ	携わる
させたべる	食べさせる
させめやる	やめさせる
させらるれ	させられる
さだなまん	旦那様
さだみめる	見定める
さちににん	二三日
さちぽみん	散歩道
さはりるー	リハーサル
ざすせつる	挫折する
ざみみりわ	耳障り
ししずちら	散らしずし
ししたべら	下調べ
ししつとょ	図書室
ししつゅん	進出
ししてとゅ	主として
ししぶんん	新聞紙（しんぶんし）
ししゅんん	新春
しすたにる	足しにする
しすたみる	下見する
しすだはり	走り出す
しすだるん	打診する
しすちょる	処置する
しすっとる	嫉妬する
しすつほる	保湿する
しすつまる	始末する
しすつめる	死滅する
しすとふる	シフトする
しすぽるん	進歩する
しすょりる	処理する
しずとはり	取り外し
しせつふん	不親切
しせつゅん	選出
しせはらる	走らせる
したたちわ	私たち
しただひり	左下
したちなば	立ち話
したっとと	年取った
したてまも	またしても
したどもわ	私ども
したなにる	足しになる
したまるわ	下回る
したるれわ	知れ渡る
しだなみみ	身だしなみ
しだはひり	左端（ひだりはし）
しちべみる	道しるべ
しつてゅん	転出
しつひぶま	暇つぶし
してとみる	してみると
してょんん	テンション
しとひみり	人見知り
しとまりり	取り締まり
しとまりる	取り締まる
しどねんん	新年度
しににほん	西日本
しにぬまら	知らぬ間に
しにほゃん	日本車
しにほゅん	日本酒
しのぼまろ	幻の
しふぼりる	振り絞る
しぷらりん	知らん振り
しまょんん	マンション
じすつめる	自滅する
じすつりる	自立する
じすてるん	展示する
じすへるん	返事する
じすまるん	自慢する
じとひめり	ひとり占め
じにふみる	踏みにじる
じにほんん	日本人
すすたてー	ステータス
すすっとる	すっとする
すすつぶり	すりつぶす
すすてとる	テストする
すすてれん	ステンレス
すすにるる	留守にする
すすぷらる	プラスする
すすぷるれ	プレスする
すすへらり	すり減らす
すずとはり	取り外す
すずはふみ	踏み外す
すずみやる	ずる休み
すせちっる	設置する
すせっとる	セットする
すせのびる	背伸びする
すせばろん	路線バス
すせぷりん	プリンセス
すせまみん	済みません［〜でした］
すそはるん	破損する
すそみよる	よそ見する
すぞほるん	保存する
すたちっる	タッチする
すたつはる	多発する
すたとへる	下手（へた）すると
すたにめる	ためにする
すたはるん	破綻する
すたふるん	負担する
すだつりる	離脱する
すだとみり	取り乱す
すだとめり	メダリスト
すだなみる	涙する
すだねひり	ひねり出す
すだゆるん	油断する
すちっとれ	ストレッチ
すちっまる	マッチする
すちにるん	認知する
すっとはる	はっとする
すっとひる	ヒットする
すっとほる	ほっとする
すっとまれ	マットレス
すっとむる	むっとする
すつなみや	夏休み
すつにぼる	没にする
すつぬぶり	塗りつぶす
すつはめる	破滅する
すつはるれ	破裂する
すてはもや	もてはやす
すてぷるん	添付する:添付・添附する
すてみりー	ミステリー
すでるわん	電話する
すととりー	ストリート
すととれー	ストレート
すとどもり	取り戻す
すとひみや	一休み
すとられん	レストラン
すなひるん	避難する:非難する
すなみるれ	住み慣れる
すにふるん	赴任する
すにみみる	耳にする
すにめやる	やめにする
すねはやる	早寝する
すねひるる	昼寝する
すのもれわ	忘れ物:物忘れ
すはひるん	批判する
すはみやる	春休み
すはむろー	ロースハム
すひまるん	肥満する
すひみやる	昼休み
すふまりわ	振り回す
すふみやゆ	冬休み
すぶりるん	分離する
すぼみやん	盆休み
ずたまみり	水たまり
ずとはまれ	的外れ
ずなのみら	のみならず
せとよりる	取り寄せる
せどらるん	ランドセル
せなにるわ	世話になる
せなまやる	悩ませる
せねむらる	眠らせる
せぱりんん	リンパ腺
せふるるわ	震わせる
せまよるわ	迷わせる
せらるわわ	笑わせる
そとまりわ	外回り
そなにのれ	それなのに
たちっわん	ワンタッチ
たちどまる	立ち止まる
たちなぶら	立ち並ぶ
たちまるわ	立ち回る
たっととの	ととのった（整・調）:整った
たっとまま	まとまった［〜金額］
たっはまや	早まった
たつつふみ	二つ三つ
たつてみる	積み立てる
たつなりわ	綱渡り
たつのはら	腹の立つ
たづふりれ	ふたり連れ
たてもりる	もり立てる
たとひびり	ひとり旅
たなにめる	ためになる
たなぽりん	ナポリタン
たなみるー	ターミナル
たねのめん	念のため
たのべもや	食べ物屋
だちとひり	ひとり立ち
だちなはめ	目鼻立ち
だなにめる	駄目になる
だふるわん	ワンダフル
ちとなまみ	港町
ちとなまり	隣町
ちとはやり	早とちり
ちなゅらる	ナチュラル
ちにほゃん	日本茶
ちねゃるん	チャンネル
ちはぶめん	八分目
ちびまるわ	待ちわびる
ちまみりわ	回り道
ちまもりわ	持ち回り
つつなまり	夏祭り
つでのはひ	初日の出
つとにめん	勤め人
つなひまり	ひな祭り
つはめりる	張り詰める
つふもりる	降り積もる
づなはまり	鼻詰まり
てとりりー	テリトリー
ととなひり	人となり
ととひまめ	一まとめ
ととまめり	取りまとめ
とななりん	何なりと
とねひむり	一眠り
とひぼめれ	一目ぼれ
とひまりわ	一回り
とびまるわ	飛び回る
とびめよる	呼び止める
とめやりる	取りやめる
どねほんん	本年度
なにのみる	波に乗る
なにはめる	羽目になる
なのびみや	伸び悩み
なのびむや	伸び悩む
にほむゆー	ユニホーム
にまらるれ	にらまれる
ねふむるー	フルネーム
のぼまやり	山登り
のまみりわ	身の回り
ぱめろんん	メロンパン
ひびるれわ	ひび割れる
ふほやるん	古本屋
ぶもらんん	モンブラン
ほむらんー	ホームラン
むるわんー	ワンルーム
らるれわわ	笑われる
