成立した２文字集合	成立した２文字単語	待ち候補文字数	待ち候補文字	成立する３文字集合	成立する３文字単語
くと	得（とく）:徳	5	い お ぎ じ ー	いくと おくと ぎくと くじと くとー	得意 遠く 特技 自得 トーク
くど	毒	6	い か こ そ っ ぼ	いくど かくど くこど くそど くっど くどぼ	幾度（いくど） 角度 孤独 土足:速度 ドック 土木
くに	国（くに）:肉	3	お ひ や	おくに くにひ くにや	お国 皮肉 肉屋
くび	首	4	あ ち て は	あくび くちび くてび くはび	あくび 備蓄 手首 美白
くふ	副:服:福:複	10	い う し そ ぞ ふ ぶ み ろ わ	いくふ うくふ くしふ くそふ くぞふ くふふ くふぶ くふみ くふろ くふわ	衣服 工夫 福祉:私服:至福 不足 付属:付属・附属 不服 腹部 含み 付録:付録・附録:復路:袋（ふくろ） 和服
くほ	北（ほく）	5	い か そ ぶ ろ	いくほ かくほ くそほ くぶほ くほろ	保育 確保 補足 北部 ほくろ
くぼ	僕（ぼく）	4	だ ど み ら	くだぼ くどぼ くぼみ くぼら	打撲 土木 くぼみ 僕ら
くま	幕:膜	7	あ い じ す ら る ー	あくま いくま くじま くすま くまら くまる くまー	悪魔 マイク 字幕 マスク まくら 車（くるま） マーク
くみ	組:組み	9	か し た ふ ぼ む ゃ や る	かくみ くしみ くたみ くふみ くぼみ くみむ くみゃ くみや くみる	味覚 仕組み たくみ:巧み 含み くぼみ むくみ 脈 薬味 ミルク
くも	くも:木（もく）:雲（くも）	7	か さ じ ず ひ り ん	かくも くさも くじも くずも くひも くもり くもん	科目:課目 模索 目次 もずく 黙秘 曇り 文句
くや	役（やく）:約:訳	10	い き さ に ば ひ み め よ わ	いくや きくや くさや くにや くばや くひや くみや くめや くやよ くやわ	医薬 規約 昨夜 肉屋 役場 飛躍 薬味 役目 予約 和訳
くよ	欲:翌	7	い こ し そ は む や	いくよ くこよ くしよ くそよ くはよ くむよ くやよ	意欲 予告 抑止 予測 余白 無欲 予約
くら	くら（倉・蔵）:楽（らく）	15	い お げ ご さ し じ す だ っ ぶ べ ぼ ま ん	いくら おくら くげら くごら くさら くしら くじら くすら くだら くっら くぶら くべら くぼら くまら くらん	いくら:イクラ:位（くらい） お蔵 くらげ:下落 娯楽 暗さ:桜:落差 暮らし 鯨 クラス 堕落 ラック クラブ 比べ 僕ら まくら ランク
くり	くり:陸（りく）	14	あ お か ぎ く す そ だ つ ば も ゃ ょ ん	あくり おくり かくり ぎくり くくり くすり くそり くだり くつり くばり くもり くゃり くょり くりん	クリア 送り 隔離 区切り:区切り・句切り くくり リスク:薬（くすり） 利息 くだり（件）:下（くだ）り つくり（作・造）:作り:理屈:造り 配り 曇り 略 力（りょく） リンク
くれ	暮れ	2	お ず	おくれ くずれ	後れ:遅れ 崩れ
くろ	くろ:六（ろく）:黒（くろ）	9	う が き さ じ っ ば ふ ほ	うくろ がくろ きくろ くさろ くじろ くっろ くばろ くふろ くほろ	苦労 録画 記録 黒さ 黒字 ロック 暴露 付録:付録・附録:復路:袋（ふくろ） ほくろ
くわ	枠	5	ぎ け ふ や ー	ぎくわ くけわ くふわ くやわ くわー	疑惑 区分け 和服 和訳 ワーク
ぐち	愚痴	2	て で	ぐちて ぐちで	手口 出口
ぐん	郡（ぐん）	8	が き し そ て ぶ り ろ	がぐん きぐん ぐしん ぐそん ぐてん ぐぶん ぐりん ぐろん	玩具 キング 寝具 ソング 軍手 文具 リング ロング
けさ	けさ:さけ:今朝（けさ）:酒（さけ）	4	な び む ん	けさな けさび けさむ けさん	情け 叫び 寒気（さむけ） 検査
けた	丈（たけ）	3	す せ は	けすた けせた けたは	助け 背丈 畑（はたけ）
けち	けち	1	い	いけち	地形（ちけい）
けつ	付け:欠:決	10	い ぎ し に ば ひ ふ ほ ぼ ろ	いけつ ぎけつ けしつ けつに けつば けつひ けつふ けつほ けつぼ けつろ	決意 決議 しつけ 煮付け バケツ 秘訣 不潔 補欠 墓穴 結露
けぬ	抜け	2	げ め	けげぬ けぬめ	抜け毛 抜け目
けぼ	ぼけ	1	つ	けつぼ	墓穴
けま	負け	2	お な	おけま けなま	おまけ 怠け
けむ	向け	4	さ ね り ん	けさむ けねむ けむり けむん	寒気（さむけ） 眠気 煙（けむり） 兼務
けや	やけ［〜になる］	3	い ど ひ	いけや けどや けひや	夜景:嫌気（いやけ） やけど 日焼け
けり	けり:けり［〜を付ける］	3	い む ん	いけり けむり けりん	理系:経理 煙（けむり） 権利
けわ	分け:訳（わけ）	5	く こ し て み	くけわ けこわ けしわ けてわ けみわ	区分け 小分け 仕分け 手分け 見分け
けん	件:券:圏:権:県	16	い お か き さ し じ せ ね は ふ ほ ぽ み む り	いけん おけん かけん きけん けさん けしん けじん けせん けねん けはん けふん けほん けぽん けみん けむん けりん	意見 嫌悪 けんか 危険:棄権 検査 試験 事件 世間 懸念 派遣 府県 保健:保険 健保 眉間 兼務 権利
げさ	下げ	1	ね	げさね	値下げ
げつ	月（げつ）	1	ま	げつま	まつげ
げは	はげ	1	み	げはみ	励み
げひ	ひげ	2	か き	かげひ きげひ	日陰 悲劇
げま	曲げ	2	つ ゆ	げつま げまゆ	まつげ まゆ毛
げゆ	湯気	1	ま	げまゆ	まゆ毛
げん	減	9	か き ご し ち ど ば む よ	かげん きげん げごん げしん げちん げどん げばん げむん げよん	下限:加減:原価 元気:期限:機嫌 言語:語源 資源 現地 限度 現場（げんば） 無限 予言
ここ	ここ:ここ［〜１，２か月］	146	あ あす あそ あん いい いう いか いく いけ いざ いせ いた いて いと いぬ いめ いん うか うき うぎ うぐ うご うさ うざ うし うじ うす うず うせ うそ うだ うど うひ うび うふ うぶ うほ うぼ うむ うゆ うよ うり えき えご えた えー おで おと おや おり かっ かど かみ がた がら きく きせ きの きん ぎむ くご くし くじ くた くち くど くよ けわ ち ね の ろ ごと ごん さじ さめ ざら しつ しと しぶ しみ しゃ しや じむ じも じわ じん すと すむ すー ぜに ぜね そら たつ たば たら だて ちっ ちも ちら ちー っぷ つぶ つべ つり づれ とば とや とり とろ とん とー どね ども どん どー なん にみ のみ のめ のも のよ のり はび はん びゆ びん ぴー ぶり ぶん へみ ほり ぽー まよ みみ みよ みん むら もり もろ もん やん られ らー るー んー	あここ あこす あこそ あこん いいこ いうこ いかこ いくこ いけこ いこざ いこせ いこた いこて いこと いこぬ いこめ いこん うかこ うきこ うぎこ うぐこ うこご うこさ うこざ うこし うこじ うこす うこず うこせ うこそ うこだ うこど うこひ うこび うこふ うこぶ うこほ うこぼ うこむ うこゆ うこよ うこり えきこ えこご えこた えこー おこで おこと おこや おこり かこっ かこど かこみ がこた がこら きくこ きこせ きこの きこん ぎこむ くこご くこし くこじ くこた くこち くこど くこよ けこわ ここち ここね ここの こころ こごと こごん こさじ こさめ こざら こしつ こしと こしぶ こしみ こしゃ こしや こじむ こじも こじわ こじん こすと こすむ こすー こぜに こぜね こそら こたつ こたば こたら こだて こちっ こちも こちら こちー こっぷ こつぶ こつべ こつり こづれ ことば ことや ことり ことろ ことん ことー こどね こども こどん こどー こなん こにみ このみ このめ このも このよ このり こはび こはん こびゆ こびん こぴー こぶり こぶん こへみ こほり こぽー こまよ こみみ こみよ こみん こむら こもり こもろ こもん こやん こられ こらー こるー こんー	ココア スコア あそこ あんこ いい子 以降:好意:意向:移行:行為 囲い 異国 固形 在庫 個性 個体:固体 固定 いとこ 子犬:小犬・子犬 濃いめ コイン 下降:加工:効果:硬貨:高価 好機:後期:気候 抗議 工具 交互 交差 口座:講座 公私:志向:思考:格子:試行:講師 事項:工事:時効 個数 構図 施工（せこう） 倉庫 蛇行 鼓動 飛行 交尾:備考 不幸:古風:工夫 後部 候補:歩行 公募:母校 向こう:無効 固有 雇用 小売り 聞こえ 小声 答え エコー おでこ 男（おとこ） 親子 氷 国家:括弧 どこか 囲み 小型:小形・小型 小柄 帰国 戸籍 きのこ 今期:既婚:根気:金庫 小麦 国語 四国:酷使 時刻 他国 告知:遅刻 孤独 予告 小分け 心地 子猫:小猫:小猫・子猫 ここの 心（こころ） 小言 今後 小さじ 小雨（こさめ） 小皿 個室:固執（こしつ） 今年（ことし） こぶし 仕込み 車庫 肥やし 無事故 小文字（こもじ） 小じわ 個人:故人 コスト 息子 コース 小銭（こぜに） 猫背 そこら こたつ たばこ たらこ 戸建て こっち 子持ち こちら コーチ コップ 小粒 個別 孤立 子連れ 言葉 床屋 小鳥 ところ:所（ところ） コント コート 寝床 子供 今度 コード 何個 煮込み 好み 女の子 小物 この世 残り 運び 判子 小指 コンビ コピー 小降り 子分:文庫:昆布（こんぶ） へこみ ほこり:誇り コーポ 真横 見込み 暦（こよみ） 未婚 コラム 子守（こもり） 衣（ころも） 顧問 今夜 これら コーラ コール コーン
こさ	濃さ	3	う じ め	うこさ こさじ こさめ	交差 小さじ 小雨（こさめ）
こざ	雑魚（ざこ）	3	い う ら	いこざ うこざ こざら	在庫 口座:講座 小皿
こし	古紙:古紙・故紙:腰	8	う く つ と ぶ み ゃ や	うこし くこし こしつ こしと こしぶ こしみ こしゃ こしや	公私:志向:思考:格子:試行:講師 四国:酷使 個室:固執（こしつ） 今年（ことし） こぶし 仕込み 車庫 肥やし
こじ	事故:自己	7	う く さ む も わ ん	うこじ くこじ こさじ こじむ こじも こじわ こじん	事項:工事:時効 時刻 小さじ 無事故 小文字（こもじ） 小じわ 個人:故人
こそ	そこ:底	3	あ う ら	あこそ うこそ こそら	あそこ 倉庫 そこら
こた	たこ	7	い え が く つ ば ら	いこた えこた がこた くこた こたつ こたば こたら	個体:固体 答え 小型:小形・小型 他国 こたつ たばこ たらこ
こつ	こつ［覚える〜］	5	し た ぶ べ り	こしつ こたつ こつぶ こつべ こつり	個室:固執（こしつ） こたつ 小粒 個別 孤立
こと	事（こと）:床（とこ）	11	い お ご し す ば や り ろ ん ー	いこと おこと こごと こしと こすと ことば ことや ことり ことろ ことん ことー	いとこ 男（おとこ） 小言 今年（ことし） コスト 言葉 床屋 小鳥 ところ:所（ところ） コント コート
こど	どこ	7	う か く ね も ん ー	うこど かこど くこど こどね こども こどん こどー	鼓動 どこか 孤独 寝床 子供 今度 コード
こな	粉（こな）	1	ん	こなん	何個
こね	コネ［コネクション］:猫	3	こ ぜ ど	ここね こぜね こどね	子猫:小猫:小猫・子猫 猫背 寝床
こは	箱:箱（はこ）	2	び ん	こはび こはん	運び 判子
こび	こび	4	う は ゆ ん	うこび こはび こびゆ こびん	交尾:備考 運び 小指 コンビ
こぶ	昆布（こぶ）	5	う し つ り ん	うこぶ こしぶ こつぶ こぶり こぶん	後部 こぶし 小粒 小降り 子分:文庫:昆布（こんぶ）
こま	駒（こま）	1	よ	こまよ	真横
こみ	込み［消費税〜］	8	か し に の へ み よ ん	かこみ こしみ こにみ このみ こへみ こみみ こみよ こみん	囲み 仕込み 煮込み 好み へこみ 見込み 暦（こよみ） 未婚
こむ	婿	5	う ぎ じ す ら	うこむ ぎこむ こじむ こすむ こむら	向こう:無効 小麦 無事故 息子 コラム
こめ	米（こめ）	3	い さ の	いこめ こさめ このめ	濃いめ 小雨（こさめ） 女の子
こや	小屋	4	お し と ん	おこや こしや ことや こやん	親子 肥やし 床屋 今夜
こよ	横	5	う く の ま み	うこよ くこよ このよ こまよ こみよ	雇用 予告 この世 真横 暦（こよみ）
こり	凝り	8	う お つ と の ぶ ほ も	うこり おこり こつり ことり このり こぶり こほり こもり	小売り 氷 孤立 小鳥 残り 小降り ほこり:誇り 子守（こもり）
これ	これ	2	づ ら	こづれ こられ	子連れ これら
こん	紺	15	あ い き ご じ と ど な は び ぶ み も や ー	あこん いこん きこん こごん こじん ことん こどん こなん こはん こびん こぶん こみん こもん こやん こんー	あんこ コイン 今期:既婚:根気:金庫 今後 個人:故人 コント 今度 何個 判子 コンビ 子分:文庫:昆布（こんぶ） 未婚 顧問 今夜 コーン
ごご	午後	65	いう いえ いか いく いけ いさ いせ いち いは いへ いま うう うき うこ うそ うつ うひ うほ うよ うり うろ えこ えん おり かく かほ かん がく がつ くこ くじ くひ くら げん こと こん さん しと しは しゅ じつ せん ぜん その たま たん だん とひ なり にり にん ねろ はん ひま ひろ ふる まん みろ むわ むん めん よれ りん るー わん	いうご いえご いかご いくご いけご いごさ いごせ いごち いごは いごへ いごま ううご うきご うこご うごそ うごつ うごひ うごほ うごよ うごり うごろ えこご えごん おごり かくご かごほ かごん がくご がごつ くこご くごじ くごひ くごら げごん こごと こごん ごさん ごしと ごしは ごしゅ ごじつ ごせん ごぜん ごその ごたま ごたん ごだん ごとひ ごなり ごにり ごにん ごねろ ごはん ごひま ごひろ ごふる ごまん ごみろ ごむわ ごむん ごめん ごよれ ごりん ごるー ごわん	合意 英語:護衛 ごかい:介護:誤解 極意 敬語 最後 正誤:生後 いちご 背後 語弊 迷子（まいご） 豪雨 動き:記号 交互 相互 都合 合否 誤報 用語:養護 合理 老後 小声 援護 おごり 覚悟 過保護 互換:看護:過言（かごん） 語学 五月 国語 地獄 極秘 娯楽 言語:語源 小言 今後 誤算 仕事 はしご 主語 後日 五千:戦後 前後:午前 その後 卵（たまご） 単語 団子 日ごと 名残（なごり） 濁り 誤認 ごろ寝 御飯（ごはん） ひ孫 日ごろ ゴルフ 五万 見ごろ 輪ゴム 無言（むごん） 御免:御免［もう〜だ］ 汚（よご）れ りんご:五輪 ゴール ワゴン
ごさ	誤差	2	い ん	いごさ ごさん	最後 誤算
ごし	死後:私語	3	と は ゅ	ごしと ごしは ごしゅ	仕事 はしご 主語
ごじ	事後:誤字	2	く つ	くごじ ごじつ	地獄 後日
ごほ	保護	2	う か	うごほ かごほ	誤報 過保護
ごま	ごま:孫	4	い た ひ ん	いごま ごたま ごひま ごまん	迷子（まいご） 卵（たまご） ひ孫 五万
ごみ	ごみ	1	ろ	ごみろ	見ごろ
ごむ	ゴム	2	わ ん	ごむわ ごむん	輪ゴム 無言（むごん）
ごろ	ごろ:ロゴ	4	う ね ひ み	うごろ ごねろ ごひろ ごみろ	老後 ごろ寝 日ごろ 見ごろ
さじ	さじ:時差	3	く こ ん	くさじ こさじ さじん	自作 小さじ 惨事:持参
さち	幸（さち）	2	っ ん	さちっ さちん	察知 産地
さつ	冊:札（さつ）	9	あ い お し せ ば べ ま よ	あさつ いさつ おさつ さしつ させつ さつば さつべ さつま さつよ	厚さ:暑さ:熱さ 殺意 お札 視察 左折 翼（つばさ） 差別 摩擦 強さ
さと	里（さと）	5	い う お っ ふ	いさと うさと おさと さっと さとふ	サイト:サイト［ウェブ〜］ 佐藤:砂糖 遠さ とっさ 太さ
さば	さば	2	か つ	かさば さつば	酒場 翼（つばさ）
さび	さび	2	け わ	けさび さびわ	叫び わさび
さぶ	サブ	2	い し	いさぶ さしぶ	細部 渋さ
さほ	補佐	3	う そ っ	うさほ さそほ さっほ	作法 細さ 発作
さま	様（さま）	3	う つ ん	うさま さつま さまん	うまさ 摩擦 さんま
さら	皿（さら）	2	く だ	くさら さだら	暗さ:桜:落差 サラダ
さん	三:三・参（さん）:三（さん）:産	20	い か け ご し じ そ た だ ち ど は ぴ ぽ ま み よ れ ろ わ	いさん かさん けさん ごさん さしん さじん さそん さたん さだん さちん さどん さはん さぴん さぽん さまん さみん さよん されん さろん さわん	サイン:遺産 加算:参加:監査:酸化 検査 誤算 審査:資産 惨事:持参 酸素 サンタ 段差 産地 サンド［ハム〜］ 破産 賛否 散歩 さんま 酸味 予算 連鎖 サロン 左腕
ざひ	ひざ	1	し	ざしひ	日差し
ざぴ	ピザ	1	っ	ざっぴ	雑費
ざわ	技（わざ）	1	し	ざしわ	仕業（しわざ）
ざん	残	3	と ね べ	ざとん ざねん ざべん	登山 捻挫 便座
しじ	四時:指示:支持:私事（しじ）	7	っ つ め ゃ ゅ ょ ん	しじっ しじつ しじめ しじゃ しじゅ しじょ しじん	実施 自室 しめじ 自社 自主 女子（じょし）:所持:辞書 地震:自信:自身
しす	すし	5	あ う か や わ	あしす うしす かしす しすや しすわ	素足 指数 透かし すし屋 師走（しわす）
した	下（した）:舌:足し	12	あ か ぎ く つ て ま み め ゃ ゅ わ	あした かした ぎした くした したつ したて したま したみ しため したゃ したゅ したわ	あした（明日）:あした（朝）:明日（あした） 仕方 下着 仕度（したく）:支度・仕度（したく）:支度（したく） 多湿 下手（したて） 真下 下見 ためし:試し 他社:他者 多種 私（わたし）
しだ	だし	5	い て は み ん	いしだ しだて しだは しだみ しだん	次第:私大 手出し はだし 見出し 打診:男子（だんし）
しち	七（しち）	5	う き っ み ょ	うしち きしち しちっ しちみ しちょ	仕打ち 敷地:知識 湿地 七味 処置
しつ	室（しつ）:質	22	う か が き け こ さ し じ せ そ た て ど は ぶ ほ ま ゃ り わ ー	うしつ かしつ がしつ きしつ けしつ こしつ さしつ ししつ しじつ しせつ しそつ したつ しつて しつど しつは しつぶ しつほ しつま しつゃ しつり しつわ しつー	写し 加湿:過失 四月:画質 気質 しつけ 個室:固執（こしつ） 視察 脂質:資質 自室 施設 素質 多湿 私鉄 湿度 始発 私物:部室 保湿 始末 シャツ 市立（しりつ）:私立（しりつ） 和室 シーツ
しと	とし（年・歳）:年（とし）:歳（とし）:都市	12	う お か こ ご っ ふ ぶ ゅ ょ ん ー	うしと おしと かしと こしと ごしと しっと しとふ しとぶ しとゅ しとょ しとん しとー	投資 通し 都市化 今年（ことし） 仕事 嫉妬 シフト 都市部 首都 図書 都心 シート
しな	なし:品（しな）	4	い お は ら	いしな おしな しなは しなら	市内 直し 話（はなし） ならし
しに	死に［生き〜］:西（にし）	4	あ せ っ び	あしに しせに しっに しにび	シニア 老舗（しにせ） 日誌 西日
しは	はし:橋:端（はし）	10	い く ご だ つ な や ら り ん	いしは くしは ごしは しだは しつは しなは しはや しはら しはり しはん	廃止:支配 白紙（はくし） はしご はだし 始発 話（はなし） 林（はやし） 柱（はしら） 走り 市販
しば	芝	7	あ い し ふ む ょ り	あしば いしば ししば しばふ しばむ しばょ しばり	足場 芝居 しばし 芝生 虫歯 場所 縛り
しほ	干し:星（ほし）	4	つ ゅ ょ ん	しつほ しほゅ しほょ しほん	保湿 保守 初歩 資本
しま	増し:島（しま）	5	い た つ ね り	いしま したま しつま しねま しまり	姉妹（しまい） 真下 始末 シネマ 締まり
しみ	しみ	10	く こ さ た だ ち ぶ ゅ ろ ん	くしみ こしみ さしみ したみ しだみ しちみ しぶみ しみゅ しみろ しみん	仕組み 仕込み 刺身 下見 見出し 七味 渋み 趣味 白身 市民
しむ	無視:蒸し:虫（むし）	4	か ば ろ ん	かしむ しばむ しむろ しむん	昔 虫歯 むしろ 無心
しめ	締め:飯（めし）	7	い し じ た ふ り ん	いしめ ししめ しじめ しため しふめ しめり しめん	使命:名刺:名詞:指名:氏名 示し しめじ ためし:試し 節目 湿（しめ）り 紙面
しも	霜	1	や	しもや	もやし
しゃ	社（しゃ）	7	い こ し じ た つ ど	いしゃ こしゃ ししゃ しじゃ したゃ しつゃ しどゃ	医者 車庫 支社 自社 他社:他者 シャツ 土砂
しや	視野	8	い か き こ す は も ん	いしや かしや きしや こしや しすや しはや しもや しやん	いやし 貸家 屋敷 肥やし すし屋 林（はやし） もやし 深夜
しゅ	種（しゅ）:酒（しゅ）	17	い う か き ぎ く ご し じ た と ひ び ふ ほ み ん	いしゅ うしゅ かしゅ きしゅ ぎしゅ くしゅ ごしゅ ししゅ しじゅ したゅ しとゅ しひゅ しびゅ しふゅ しほゅ しみゅ しゅん	首位 周:週:集（しゅう） 歌手 機種 主義 祝（しゅく） 主語 主旨:趣旨 自主 多種 首都 守秘 守備 主婦 保守 趣味 旬（しゅん）
しょ	暑:書（しょ）:署	12	う か き く し じ ち と ば ぶ ほ り	うしょ かしょ きしょ くしょ ししょ しじょ しちょ しとょ しばょ しぶょ しほょ しょり	商:小（しょう）:症:証:賞 初夏（しょか）:箇所 初期:死去 職:食 支所 女子（じょし）:所持:辞書 処置 図書 場所 部署 初歩 処理:思慮
しよ	よし	3	う く ん	うしよ くしよ しよん	仕様:使用:容姿:用紙:私用 抑止 予震:余震
しり	しり:利子	8	き つ は ば ま め ょ ん	きしり しつり しはり しばり しまり しめり しょり しりん	仕切り 市立（しりつ）:私立（しりつ） 走り 縛り 締まり 湿（しめ）り 処理:思慮 心理
しる	汁	3	し ゆ ー	ししる しゆる しるー	印（しるし） 許し シール
しろ	白（しろ）	6	あ う お み む ん	あしろ うしろ おしろ しみろ しむろ しろん	ロシア 後ろ 下ろし 白身 むしろ 進路
しわ	しわ:わし:和紙	8	い が き け ざ す た つ	いしわ がしわ きしわ けしわ ざしわ しすわ したわ しつわ	いわし 和菓子 和式 仕分け 仕業（しわざ） 師走（しわす） 私（わたし） 和室
しん	心（しん）:真（しん）:芯	37	あ い え お か き ぎ ぐ け げ さ し じ せ ぜ そ だ て で と ど ね は ぴ ふ ほ ぽ み む め や ゅ よ り れ ろ ー	あしん いしん えしん おしん かしん きしん ぎしん ぐしん けしん げしん さしん ししん しじん しせん しぜん しそん しだん してん しでん しとん しどん しねん しはん しぴん しふん しほん しぽん しみん しむん しめん しやん しゅん しよん しりん しれん しろん しんー	思案 印紙:死因 支援 恩師 干支:監視:進化:過信 新規:禁止:資金:近視 審議 寝具 試験 資源 審査:資産 指針:紳士 地震:自信:自身 視線 自然 子孫 打診:男子（だんし） 天使:始点:支店:支点:視点 電子 都心 震度 年始 市販 神秘 不信:不審:不振 資本 進歩 市民 無心 紙面 深夜 旬（しゅん） 予震:余震 心理 試練 進路 シーン
じじ	時事	129	ああ あい あか あく あみ あん いえ いか いけ いす いず いせ いた いだ いち いて いま いめ いる いれ いん うこ うす うそ うと うど うほ うゅ うゆ うょ うよ えま えも えん おぎ おせ おや おら かく かっ かつ かの かび かゅ かん きつ きひ きり ぎつ くこ くご くさ くそ くぞ くた くと くば くま くも くゃ くゅ くら くろ けめ けん こさ こむ こも こわ こん ごつ さん しっ しつ しめ しゃ しゅ しょ しん つ ょ ん すせ ずゅ ぜん ぞん たび たべ たん だつ だは だん ちに ちん っぴ つひ つむ つり つわ てん とふ とも なみ なん にん はめ ばら ばる びん ふん ぶん へん ぺー ほょ まゃ まり まん みも みん むゃ むん めり めん もん ゅり ゅん りん れん ろん	ああじ あいじ あかじ あくじ あじみ あじん いえじ いかじ いけじ いじす いじず いじせ いじた いじだ いじち いじて いじま いじめ いじる いじれ いじん うこじ うじす うじそ うじと うじど うじほ うじゅ うじゆ うじょ うじよ えじま えじも えじん おぎじ おじせ おじや おじら かくじ かじっ かじつ かじの かじび かじゅ かじん きじつ きじひ きじり ぎじつ くこじ くごじ くさじ くじそ くじぞ くじた くじと くじば くじま くじも くじゃ くじゅ くじら くじろ けじめ けじん こさじ こじむ こじも こじわ こじん ごじつ さじん しじっ しじつ しじめ しじゃ しじゅ しじょ しじん じじつ じじょ じじん じすせ じずゅ じぜん じぞん じたび じたべ じたん じだつ じだは じだん じちに じちん じっぴ じつひ じつむ じつり じつわ じてん じとふ じとも じなみ じなん じにん じはめ じばら じばる じびん じふん じぶん じへん じぺー じほょ じまゃ じまり じまん じみも じみん じむゃ じむん じめり じめん じもん じゅり じゅん じりん じれん じろん	アジア 自愛 赤字 悪事 味見 暗示 英字 次回:開示 掲示 炊事:自炊 随時 政治 事態:自体:辞退:退治 大事（だいじ）:時代 一時（いちじ） 定時:提示 毎時 いじめ:明治 類似 事例:辞令 寺院 事項:工事:時効 数字 掃除 当時 児童:同時:自動 時報 住（じゅう）:十・拾（じゅう）:十（じゅう） 自由 上（じょう）:乗:情（じょう）:状:錠 ようじ:幼児（ようじ）:用事 自前 絵文字 園児 お辞儀 お世辞 おやじ ラジオ 各自:自覚 実家 果実:活字 カジノ 耳鼻科 果樹 幹事:感じ:時間:漢字 期日 ひじき 自力 実技 時刻 地獄 自作 即時 持続 自宅 自得 自爆 字幕 目次 弱 塾 鯨 黒字 けじめ 事件 小さじ 無事故 小文字（こもじ） 小じわ 個人:故人 後日 惨事:持参 実施 自室 しめじ 自社 自主 女子（じょし）:所持:辞書 地震:自信:自身 事実 女児:次女:次女・二女 人事 背筋 数珠（じゅず） 事前 存じ 旅路 地べた 時短［労働時間短縮］ 脱字 地肌 男児 日時 知人 実費 自筆 無実 自律:自立 実話 事典:展示:時点:辞典 太字 地もと なじみ 次男:次男・二男 辞任 はじめ（初・始）:初め:始め 自腹 バジル 美人 夫人:婦人 自分 返事 ページ 補助 邪魔 まじり（交・混）:混じり 自慢 もみじ:もみじ（紅葉）:紅葉（もみじ） 微塵（みじん） ジャム 無人 目じり 地面 自問 受理 順 臨時 レンジ 持論
じす	筋（すじ）	3	い う せ	いじす うじす じすせ	炊事:自炊 数字 背筋
じた	自他	5	い く び べ ん	いじた くじた じたび じたべ じたん	事態:自体:辞退:退治 自宅 旅路 地べた 時短［労働時間短縮］
じち	知事:自治	3	い に ん	いじち じちに じちん	一時（いちじ） 日時 知人
じつ	実（じつ）:日（じつ）	11	か き ぎ ご し じ だ ひ む り わ	かじつ きじつ ぎじつ ごじつ しじつ じじつ じだつ じつひ じつむ じつり じつわ	果実:活字 期日 実技 後日 自室 事実 脱字 自筆 無実 自律:自立 実話
じに	二次:虹	2	ち ん	じちに じにん	日時 辞任
じは	恥	2	だ め	じだは じはめ	地肌 はじめ（初・始）:初め:始め
じひ	ひじ:自費	2	き つ	きじひ じつひ	ひじき 自筆
じふ	自負	2	と ん	じとふ じふん	太字 夫人:婦人
じぶ	無事	1	ん	じぶん	自分
じむ	ジム:事務:無地	4	こ つ ゃ ん	こじむ じつむ じむゃ じむん	無事故 無実 ジャム 無人
じも	文字（もじ）	6	え く こ と み ん	えじも くじも こじも じとも じみも じもん	絵文字 目次 小文字（こもじ） 地もと もみじ:もみじ（紅葉）:紅葉（もみじ） 自問
じょ	女（じょ）	4	う し じ ほ	うじょ しじょ じじょ じほょ	上（じょう）:乗:情（じょう）:状:錠 女子（じょし）:所持:辞書 女児:次女:次女・二女 補助
じれ	レジ:レジ［〜係］	2	い ん	いじれ じれん	事例:辞令 レンジ
じろ	路地	2	く ん	くじろ じろん	黒字 持論
すそ	すそ	1	ー	すそー	ソース
すで	素手	3	う ぎ く	うすで ぎすで くすで	薄手 出過ぎ デスク
すぱ	パス	2	い た	いすぱ すたぱ	スパイ パスタ
すべ	すべ	3	て と ー	すてべ すとべ すべー	すべて ベスト ベース
すま	ます	4	い う き く	いすま うすま きすま くすま	住まい:睡魔:麻酔 マウス すき間 マスク
すみ	ミス:済み:炭:隅	7	か す せ て と ぬ や	かすみ すすみ すせみ すてみ すとみ すぬみ すみや	住みか 進み ミセス 捨て身 ミスト 盗み 休み
すめ	メス	5	う す ず む や	うすめ すすめ すずめ すむめ すめや	薄め 勧め すずめ 娘 休め:安め:目安
する	留守	3	い お り	いする おする すりる	居留守 お留守 スリル
すろ	ロス	1	ー	すろー	スロー:ロース
ずち	地図	1	ー	ずちー	チーズ
ずは	はず	2	み れ	ずはみ ずはれ	弾み 外れ
ずみ	みず:水（みず）	3	い ぎ は	いずみ ぎずみ ずはみ	泉（いずみ） 水着 弾み
ずる	ずる	2	の ぱ	ずのる ずぱる	ノズル パズル
ずれ	ずれ	4	い く は ん	いずれ くずれ ずはれ ずれん	いずれ 崩れ 外れ レンズ
せつ	説	7	う か き さ ざ し び	うせつ かせつ きせつ させつ ざせつ しせつ せつび	右折 仮設:仮説 季節 左折 挫折 施設 設備
せに	偽（にせ）	2	い し	いせに しせに	二世 老舗（しにせ）
せみ	せみ:店（みせ）	2	す ば	すせみ せばみ	ミセス 見せ場
せめ	攻め:責め	1	ん	せめん	目線
せや	やせ	2	い ら	いせや せやら	野性 やらせ
せる	セル	2	ふ ー	せふる せるー	セルフ セール
せわ	世話	2	あ か	あせわ かせわ	あわせ 為替
